"Station Name","MCTAVISH"
"Province","QUEBEC"
"Latitude","45.50"
"Longitude","-73.58"
"Elevation","72.80"
"Climate Identifier","7024745"
"WMO Identifier","71612"
"TC Identifier","WTA"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2016-01-01","2016","01","01","†","-0.1","","-3.6","","-1.9","","19.9","","0.0","","","M","","M","0.7","","32","","","","<31",""
"2016-01-02","2016","01","02","†","0.4","","-4.4","","-2.0","","20.0","","0.0","","","M","","M","1.2","","30","","21","","32",""
"2016-01-03","2016","01","03","†","0.2","","-14.8","","-7.3","","25.3","","0.0","","","M","","M","7.7","","32","","1","","32",""
"2016-01-04","2016","01","04","†","-13.5","","-18.5","","-16.0","","34.0","","0.0","","","M","","M","0.0","","52","","1","","35",""
"2016-01-05","2016","01","05","†","-7.5","","-19.0","","-13.3","","31.3","","0.0","","","M","","M","0.0","","45","","","","<31",""
"2016-01-06","2016","01","06","†","0.2","","-11.1","","-5.5","","23.5","","0.0","","","M","","M","0.0","","42","","","","<31",""
"2016-01-07","2016","01","07","†","0.8","","-4.9","","-2.1","","20.1","","0.0","","","M","","M","0.0","","40","","","","<31",""
"2016-01-08","2016","01","08","†","2.3","","-5.3","","-1.5","","19.5","","0.0","","","M","","M","0.0","","38","","","","<31",""
"2016-01-09","2016","01","09","†","4.5","","1.5","","3.0","","15.0","","0.0","","","M","","M","2.5","","","","","","<31",""
"2016-01-10","2016","01","10","†","8.5","","-0.7","","3.9","","14.1","","0.0","","","M","","M","8.0","","29","","23","","50",""
"2016-01-11","2016","01","11","†","-0.7","","-11.7","","-6.2","","24.2","","0.0","","","M","","M","0.0","","21","","20","","54",""
